GEOID,County,totalE,totalM,occupiedE,occupiedM,vacantE,vacantM,Year
51810,Virginia Beach City,178753,558,164944,1049,13809,884,2013
51035,Carroll,16542,58,12572,431,3970,426,2013
51191,Washington,25591,76,22755,379,2836,383,2013
51193,Westmoreland,10649,29,7130,334,3519,333,2013
51139,Page,11591,36,9623,272,1968,276,2013
51155,Pulaski,17202,84,14875,354,2327,339,2013
51510,Alexandria City,72799,157,65369,920,7430,904,2013
51590,Danville City,22406,194,18659,488,3747,474,2013
51650,Hampton City,59746,194,52511,729,7235,734,2013
51009,Amherst,13979,142,12680,259,1299,253,2013
51017,Bath,3242,286,2101,196,1141,212,2013
51027,Buchanan,11502,84,9485,287,2017,293,2013
51700,Newport News City,76637,504,69211,958,7426,766,2013
51179,Stafford,44550,286,42178,415,2372,362,2013
51680,Lynchburg City,32015,297,28556,529,3459,408,2013
51760,Richmond City,98579,468,84833,1004,13746,886,2013
51690,Martinsville City,7190,75,5995,252,1195,240,2013
51057,Essex,5759,22,4286,181,1473,181,2013
51185,Tazewell,20718,85,18294,316,2424,315,2013
51530,Buena Vista City,2931,64,2738,117,193,97,2013
51685,Manassas Park City,4884,25,4435,200,449,197,2013
51730,Petersburg City,16381,68,12456,410,3925,397,2013
51183,Sussex,4688,225,3704,307,984,167,2013
51600,Fairfax City,8714,78,8492,134,222,112,2013
51683,Manassas City,13177,45,12072,267,1105,264,2013
51770,Roanoke City,47292,186,42494,523,4798,509,2013
51800,Suffolk City,33372,73,30492,408,2880,405,2013
51037,Charlotte,6265,37,4751,255,1514,253,2013
51041,Chesterfield,123351,166,113637,862,9714,820,2013
51081,Greensville,4093,540,3389,570,704,161,2013
51093,Isle Of Wight,14781,55,13560,247,1221,234,2013
51620,Franklin City,3895,33,3551,179,344,176,2013
51540,Charlottesville City,19373,181,17443,372,1930,309,2013
51087,Henrico,133174,159,123683,897,9491,885,2013
51101,King William,6555,21,5998,176,557,172,2013
51109,Louisa,16428,49,13046,386,3382,382,2013
51119,Middlesex,7163,45,4400,262,2763,255,2013
51159,Richmond,3862,241,2853,303,1009,172,2013
51177,Spotsylvania,45369,102,41709,543,3660,506,2013
51043,Clarke,6246,45,5580,172,666,166,2013
51097,King And Queen,3420,13,2863,155,557,156,2013
51127,New Kent,7448,80,6886,208,562,191,2013
51051,Dickenson,7552,51,6352,201,1200,205,2013
51107,Loudoun,112504,139,106997,728,5507,671,2013
51161,Roanoke,40170,149,37928,434,2242,411,2013
51091,Highland,1840,105,1006,82,834,77,2013
51073,Gloucester,15916,49,13889,377,2027,384,2013
51145,Powhatan,10108,165,9544,261,564,207,2013
51061,Fauquier,25738,66,23130,305,2608,305,2013
51550,Chesapeake City,84403,348,79421,735,4982,703,2013
51003,Albemarle,42713,507,37964,700,4749,542,2013
51019,Bedford,32123,67,27233,463,4890,449,2013
51195,Wise,17854,131,15406,427,2448,399,2013
51740,Portsmouth City,40833,370,36690,610,4143,479,2013
51005,Alleghany,8050,53,6773,195,1277,190,2013
51640,Galax City,3560,242,3018,224,542,152,2013
51133,Northumberland,9019,23,5691,340,3328,343,2013
51187,Warren,16002,103,14387,283,1615,321,2013
51630,Fredericksburg City,10888,204,9779,303,1109,255,2013
51013,Arlington,106740,191,94454,1031,12286,1020,2013
51670,Hopewell City,10141,37,8766,276,1375,277,2013
51069,Frederick,31587,126,29172,402,2415,392,2013
51199,York,26797,171,24071,432,2726,408,2013
51125,Nelson,9957,56,6404,312,3553,311,2013
51143,Pittsylvania,31221,105,26092,512,5129,491,2013
51610,Falls Church City,5473,28,5020,157,453,158,2013
51735,Poquoson City,4736,30,4591,78,145,73,2013
51820,Waynesboro City,9735,38,8708,270,1027,269,2013
51775,Salem City,10812,139,9908,265,904,251,2013
51710,Norfolk City,95271,728,85557,1033,9714,636,2013
51059,Fairfax,408180,306,389908,1205,18272,1172,2013
51095,James City,30943,110,27665,538,3278,541,2014
51167,Russell,13439,52,11037,362,2402,347,2014
51173,Smyth,15401,110,12852,300,2549,293,2014
51540,Charlottesville City,19603,162,17604,362,1999,336,2014
51031,Campbell,24953,73,21728,381,3225,380,2014
51087,Henrico,133795,268,123821,1010,9974,966,2014
51099,King George,9627,64,8315,282,1312,274,2014
51103,Lancaster,7517,37,5283,290,2234,286,2014
51105,Lee,11752,325,9597,424,2155,276,2014
51115,Mathews,5694,46,3792,322,1902,302,2014
51119,Middlesex,7188,55,4432,234,2756,222,2014
51149,Prince George,12136,217,10906,364,1230,272,2014
51159,Richmond,3878,371,2800,400,1078,161,2014
51169,Scott,11880,92,9363,287,2517,264,2014
51177,Spotsylvania,45747,76,42280,531,3467,526,2014
51011,Appomattox,7006,35,5964,217,1042,217,2014
51067,Franklin,29386,124,23248,512,6138,488,2014
51049,Cumberland,4641,24,4038,178,603,182,2014
51097,King And Queen,3440,24,2832,157,608,156,2014
51121,Montgomery,38875,625,34803,870,4072,526,2014
51127,New Kent,7612,86,7106,218,506,191,2014
51051,Dickenson,7548,41,6200,253,1348,247,2014
51083,Halifax,18041,96,14472,375,3569,358,2014
51107,Loudoun,115599,140,110047,624,5552,586,2014
51153,Prince William,141002,370,134737,810,6265,660,2014
51175,Southampton,7531,156,6654,261,877,200,2014
51091,Highland,1942,137,1067,93,875,95,2014
51033,Caroline,11857,208,10728,315,1129,234,2014
51073,Gloucester,15993,61,14074,340,1919,328,2014
51141,Patrick,10095,48,7678,354,2417,363,2014
51145,Powhatan,10195,149,9590,247,605,185,2014
51171,Shenandoah,20987,67,17246,293,3741,297,2014
51061,Fauquier,25905,71,23162,443,2743,432,2014
51790,Staunton City,11740,149,10503,297,1237,241,2014
51065,Fluvanna,10541,147,9787,287,754,237,2014
51007,Amelia,5400,44,4761,203,639,193,2014
51750,Radford City,6472,199,5333,342,1139,279,2014
51840,Winchester City,11913,122,10692,336,1221,301,2014
51001,Accomack,21054,302,14289,610,6765,500,2014
51045,Craig,2868,190,2151,167,717,161,2014
51063,Floyd,7868,45,6086,305,1782,306,2014
51071,Giles,8324,54,7253,250,1071,240,2014
51077,Grayson,9155,49,6686,263,2469,249,2014
51135,Nottoway,6685,80,5640,220,1045,216,2014
51157,Rappahannock,3919,28,3281,144,638,144,2014
51036,Charles City,3263,50,2832,106,431,91,2014
51047,Culpeper,17869,151,16436,352,1433,310,2014
51053,Dinwiddie,11504,100,9956,281,1548,248,2014
51079,Greene,7790,40,6965,239,825,239,2014
51085,Hanover,39026,103,37041,383,1985,363,2014
51111,Lunenburg,5934,287,4634,337,1300,187,2014
51137,Orange,14716,54,12433,361,2283,359,2014
51595,Emporia City,2722,196,2420,168,302,123,2014
51197,Wythe,14139,57,11984,368,2155,373,2014
51550,Chesapeake City,85540,439,80388,786,5152,630,2014
51660,Harrisonburg City,17798,274,15881,356,1917,270,2014
51003,Albemarle,43128,512,38537,669,4591,525,2014
51019,Bedford,35308,67,30122,535,5186,532,2014
51029,Buckingham,7255,201,5802,317,1453,223,2014
51195,Wise,17906,213,15517,343,2389,302,2014
51580,Covington City,3051,21,2468,121,583,123,2014
51740,Portsmouth City,40876,468,36764,677,4112,425,2014
51810,Virginia Beach City,179842,524,165296,936,14546,831,2014
51005,Alleghany,8066,76,6714,216,1352,188,2014
51640,Galax City,3559,218,2968,187,591,160,2014
51193,Westmoreland,10717,54,6981,362,3736,370,2014
51133,Northumberland,9058,22,5669,306,3389,303,2014
51155,Pulaski,17245,73,15125,331,2120,329,2014
51187,Warren,16037,64,14324,341,1713,332,2014
51017,Bath,3403,225,2225,158,1178,216,2014
51590,Danville City,22402,191,18520,411,3882,395,2014
51630,Fredericksburg City,11037,175,9849,380,1188,308,2014
51009,Amherst,14044,127,12577,281,1467,254,2014
51670,Hopewell City,10185,67,8774,277,1411,269,2014
51700,Newport News City,76903,461,68987,901,7916,793,2014
51069,Frederick,31877,148,29184,468,2693,425,2014
51680,Lynchburg City,32153,389,28424,556,3729,433,2014
51199,York,26953,122,23970,372,2983,350,2014
51690,Martinsville City,7182,114,5974,231,1208,202,2014
51125,Nelson,9990,41,6381,310,3609,298,2014
51143,Pittsylvania,31332,157,26029,528,5303,507,2014
51530,Buena Vista City,2929,65,2741,121,188,101,2014
51610,Falls Church City,5492,23,4966,180,526,181,2014
51730,Petersburg City,16475,91,12515,300,3960,312,2014
51735,Poquoson City,4738,34,4627,76,111,70,2014
51600,Fairfax City,8745,80,8480,141,265,133,2014
51820,Waynesboro City,9811,38,8878,264,933,257,2014
51770,Roanoke City,47330,157,42549,604,4781,607,2014
51800,Suffolk City,33862,103,30798,392,3064,364,2014
51710,Norfolk City,95699,802,86397,1112,9302,721,2014
51041,Chesterfield,124384,239,115005,782,9379,802,2014
51059,Fairfax,409108,339,391794,1231,17314,1268,2014
51093,Isle Of Wight,14912,71,13519,301,1393,289,2014
51620,Franklin City,3878,43,3580,153,298,154,2014
51678,Lexington City,1944,884,1727,847,217,151,2014
51089,Henry,26188,99,22472,470,3716,455,2014
51101,King William,6597,26,6147,150,450,153,2014
51109,Louisa,16590,50,12811,350,3779,337,2014
51147,Prince Edward,9234,258,7604,362,1630,294,2014
51165,Rockingham,34087,132,29483,480,4604,487,2014
51181,Surry,3478,23,2652,142,826,141,2014
51043,Clarke,6259,48,5619,167,640,163,2014
51117,Mecklenburg,18642,181,12857,465,5785,439,2014
51015,Augusta,31550,172,28124,502,3426,450,2014
51075,Goochland,8726,158,8212,247,514,165,2014
51113,Madison,5974,41,5093,163,881,165,2014
51161,Roanoke,40319,191,38197,401,2122,392,2014
51025,Brunswick,8164,140,5865,347,2299,291,2014
51131,Northampton,7322,49,5237,244,2085,240,2014
51163,Rockbridge,11199,49,9226,313,1973,299,2014
51720,Norton City,1850,155,1655,136,195,81,2014
51570,Colonial Heights City,7817,58,7025,156,792,153,2014
51021,Bland,3265,137,2591,198,674,125,2014
51023,Botetourt,14628,73,12867,233,1761,226,2014
51520,Bristol City,8829,57,7764,254,1065,252,2014
51830,Williamsburg City,4951,244,4365,260,586,152,2014
51035,Carroll,16599,49,12508,376,4091,373,2014
51191,Washington,25694,104,22842,359,2852,347,2014
51139,Page,11620,46,9526,306,2094,304,2014
51510,Alexandria City,73502,142,65916,754,7586,718,2014
51650,Hampton City,60036,222,52700,724,7336,656,2014
51013,Arlington,108021,204,96264,1133,11757,1153,2014
51027,Buchanan,11508,132,9406,302,2102,263,2014
51179,Stafford,45107,326,42763,544,2344,373,2014
51760,Richmond City,99123,791,85913,1272,13210,957,2014
51057,Essex,5779,34,4288,168,1491,172,2014
51185,Tazewell,20737,110,18306,380,2431,379,2014
51685,Manassas Park City,4895,17,4526,176,369,177,2014
51183,Sussex,4201,528,3261,517,940,155,2014
51683,Manassas City,13232,31,12274,286,958,283,2014
51775,Salem City,10848,144,9953,256,895,213,2014
51037,Charlotte,6288,42,4691,245,1597,237,2014
51081,Greensville,4118,565,3397,620,721,181,2014
51095,James City,31392,107,28000,480,3392,487,2015
51167,Russell,13428,40,11045,268,2383,273,2015
51173,Smyth,15356,95,12795,296,2561,282,2015
51540,Charlottesville City,19886,137,17752,370,2134,358,2015
51031,Campbell,25100,67,21791,460,3309,454,2015
51087,Henrico,134346,206,124589,874,9757,832,2015
51099,King George,9706,55,8379,245,1327,249,2015
51103,Lancaster,7544,41,5164,301,2380,292,2015
51105,Lee,11728,330,9445,411,2283,273,2015
51115,Mathews,5702,34,3806,299,1896,296,2015
51119,Middlesex,7211,56,4342,283,2869,274,2015
51149,Prince George,12192,173,11102,343,1090,277,2015
51159,Richmond,3886,87,2875,204,1011,175,2015
51169,Scott,11876,88,9379,303,2497,300,2015
51177,Spotsylvania,45979,99,42823,449,3156,426,2015
51011,Appomattox,7051,41,5931,220,1120,213,2015
51067,Franklin,29419,120,23189,459,6230,446,2015
51097,King And Queen,3446,21,2894,126,552,127,2015
51121,Montgomery,39038,340,35199,687,3839,576,2015
51127,New Kent,7736,47,7299,190,437,184,2015
51083,Halifax,18057,70,14300,398,3757,389,2015
51107,Loudoun,118919,132,113432,710,5487,693,2015
51153,Prince William,142786,338,136794,649,5992,631,2015
51175,Southampton,7529,125,6682,240,847,194,2015
51091,Highland,1918,126,1071,88,847,91,2015
51033,Caroline,11927,346,10970,431,957,245,2015
51073,Gloucester,16066,60,14280,352,1786,351,2015
51141,Patrick,10085,69,7790,306,2295,292,2015
51145,Powhatan,10272,136,9730,206,542,155,2015
51171,Shenandoah,21026,52,17096,372,3930,373,2015
51061,Fauquier,26052,56,23595,381,2457,380,2015
51790,Staunton City,11782,146,10387,265,1395,246,2015
51065,Fluvanna,10596,125,9891,243,705,219,2015
51007,Amelia,5414,41,4704,223,710,226,2015
51750,Radford City,6507,279,5477,400,1030,218,2015
51840,Winchester City,11903,81,10608,278,1295,282,2015
51001,Accomack,21031,218,13961,570,7070,503,2015
51045,Craig,2955,196,2214,185,741,184,2015
51063,Floyd,7889,40,6271,276,1618,277,2015
51071,Giles,8327,43,7230,213,1097,210,2015
51077,Grayson,9166,144,6795,318,2371,259,2015
51135,Nottoway,6699,78,5589,259,1110,238,2015
51157,Rappahannock,3936,24,3273,158,663,154,2015
51036,Charles City,3303,39,2883,82,420,77,2015
51047,Culpeper,17989,128,16515,357,1474,326,2015
51053,Dinwiddie,11542,88,9939,264,1603,247,2015
51079,Greene,7905,38,7111,228,794,225,2015
51085,Hanover,39391,131,37463,343,1928,336,2015
51111,Lunenburg,5933,394,4516,482,1417,213,2015
51137,Orange,14789,67,12810,319,1979,321,2015
51595,Emporia City,2686,187,2459,193,227,112,2015
51197,Wythe,14159,52,11863,357,2296,351,2015
51550,Chesapeake City,86657,401,81518,695,5139,595,2015
51660,Harrisonburg City,17942,198,16409,296,1533,266,2015
51003,Albemarle,43579,626,38853,835,4726,508,2015
51019,Bedford,35546,66,30591,493,4955,480,2015
51029,Buckingham,7263,105,5603,251,1660,211,2015
51195,Wise,17851,170,15254,319,2597,317,2015
51580,Covington City,3035,43,2476,152,559,141,2015
51049,Cumberland,4650,26,4012,191,638,185,2015
51051,Dickenson,7525,58,6205,199,1320,204,2015
51740,Portsmouth City,40987,249,36757,559,4230,501,2015
51810,Virginia Beach City,180824,508,166242,1143,14582,968,2015
51005,Alleghany,8063,61,6781,192,1282,180,2015
51640,Galax City,3514,206,2961,180,553,182,2015
51193,Westmoreland,10752,43,6944,383,3808,383,2015
51133,Northumberland,9096,38,5861,334,3235,338,2015
51155,Pulaski,17256,76,14619,370,2637,358,2015
51187,Warren,16099,107,14364,341,1735,329,2015
51590,Danville City,22376,194,18559,440,3817,389,2015
51630,Fredericksburg City,11252,158,10080,338,1172,296,2015
51009,Amherst,14058,94,12502,288,1556,279,2015
51017,Bath,3394,208,2146,171,1248,202,2015
51670,Hopewell City,10223,56,8706,283,1517,267,2015
51700,Newport News City,77175,443,69073,815,8102,718,2015
51069,Frederick,32152,141,29455,397,2697,371,2015
51680,Lynchburg City,32252,310,28528,537,3724,444,2015
51199,York,27150,127,23997,330,3153,324,2015
51690,Martinsville City,7176,43,5857,207,1319,197,2015
51143,Pittsylvania,31366,94,26204,484,5162,476,2015
51530,Buena Vista City,2920,74,2737,134,183,102,2015
51610,Falls Church City,5601,18,5166,150,435,152,2015
51730,Petersburg City,16464,96,12803,382,3661,365,2015
51735,Poquoson City,4751,31,4642,72,109,58,2015
51600,Fairfax City,8780,84,8467,146,313,121,2015
51820,Waynesboro City,9868,39,9031,249,837,244,2015
51770,Roanoke City,47321,156,42239,588,5082,535,2015
51800,Suffolk City,34368,100,30990,381,3378,389,2015
51710,Norfolk City,96121,997,87045,1126,9076,592,2015
51041,Chesterfield,125393,192,116797,806,8596,799,2015
51059,Fairfax,409963,439,392355,1164,17608,1246,2015
51125,Nelson,10017,38,6339,291,3678,296,2015
51093,Isle Of Wight,15001,58,13769,288,1232,282,2015
51620,Franklin City,3888,37,3453,197,435,193,2015
51678,Lexington City,1911,1079,1638,1071,273,147,2015
51089,Henry,26144,90,22415,375,3729,368,2015
51101,King William,6632,34,6036,195,596,192,2015
51109,Louisa,16692,68,12829,394,3863,382,2015
51147,Prince Edward,9269,227,7409,383,1860,281,2015
51165,Rockingham,34269,118,29625,334,4644,340,2015
51181,Surry,3497,18,2668,126,829,128,2015
51043,Clarke,6261,48,5526,160,735,157,2015
51117,Mecklenburg,18661,123,12482,363,6179,321,2015
51015,Augusta,31724,201,28150,481,3574,424,2015
51075,Goochland,8807,89,8148,215,659,188,2015
51113,Madison,5983,45,5003,223,980,220,2015
51161,Roanoke,40439,95,38164,371,2275,354,2015
51025,Brunswick,8158,142,5916,291,2242,282,2015
51131,Northampton,7323,41,5248,250,2075,246,2015
51163,Rockbridge,11231,35,9319,285,1912,276,2015
51720,Norton City,1917,150,1783,137,134,74,2015
51570,Colonial Heights City,7808,52,7106,178,702,168,2015
51021,Bland,3274,220,2614,235,660,137,2015
51023,Botetourt,14664,53,12913,263,1751,255,2015
51520,Bristol City,8841,81,7718,254,1123,255,2015
51830,Williamsburg City,5020,171,4538,248,482,140,2015
51035,Carroll,16621,49,12548,434,4073,425,2015
51191,Washington,25704,110,22673,409,3031,374,2015
51139,Page,11636,40,9372,284,2264,288,2015
51510,Alexandria City,74317,141,66879,816,7438,793,2015
51650,Hampton City,60168,210,52940,835,7228,795,2015
51013,Arlington,109443,279,98441,1023,11002,1021,2015
51027,Buchanan,11489,103,9442,262,2047,239,2015
51179,Stafford,45759,314,43405,515,2354,405,2015
51760,Richmond City,99449,577,87224,947,12225,774,2015
51057,Essex,5777,49,4332,201,1445,197,2015
51185,Tazewell,20716,81,17832,331,2884,336,2015
51685,Manassas Park City,4895,17,4723,98,172,100,2015
51183,Sussex,4007,518,3149,533,858,155,2015
51683,Manassas City,13284,78,12433,264,851,244,2015
51775,Salem City,10851,153,10045,261,806,231,2015
51037,Charlotte,6298,47,4723,242,1575,236,2015
51081,Greensville,4122,627,3486,633,636,144,2015
51810,Virginia Beach City,182016,469,167509,1094,14507,990,2016
51005,Alleghany,8043,62,6845,221,1198,202,2016
51640,Galax City,3404,248,2767,209,637,153,2016
51193,Westmoreland,10794,43,7124,345,3670,339,2016
51133,Northumberland,9113,28,5776,327,3337,328,2016
51155,Pulaski,17266,89,14553,388,2713,379,2016
51187,Warren,16146,74,14174,283,1972,277,2016
51590,Danville City,22337,121,18653,402,3684,389,2016
51630,Fredericksburg City,11387,239,10271,359,1116,267,2016
51009,Amherst,14067,83,12306,349,1761,323,2016
51017,Bath,3421,266,2104,194,1317,248,2016
51670,Hopewell City,10279,61,8866,285,1413,282,2016
51700,Newport News City,77494,334,69247,810,8247,739,2016
51069,Frederick,32502,118,29914,485,2588,462,2016
51680,Lynchburg City,32324,266,28282,520,4042,442,2016
51199,York,27331,168,23872,411,3459,407,2016
51690,Martinsville City,7159,47,5787,220,1372,217,2016
51125,Nelson,10043,40,6378,318,3665,314,2016
51143,Pittsylvania,31334,147,26327,499,5007,462,2016
51530,Buena Vista City,2923,68,2709,126,214,108,2016
51610,Falls Church City,5709,20,5301,129,408,129,2016
51730,Petersburg City,16484,102,13175,326,3309,301,2016
51735,Poquoson City,4758,33,4610,110,148,100,2016
51600,Fairfax City,8801,67,8476,134,325,109,2016
51820,Waynesboro City,9946,39,9044,252,902,252,2016
51770,Roanoke City,47331,164,42541,579,4790,542,2016
51800,Suffolk City,34897,114,31741,396,3156,356,2016
51710,Norfolk City,96631,838,87367,988,9264,646,2016
51041,Chesterfield,126532,209,118908,746,7624,728,2016
51059,Fairfax,411072,346,393358,1141,17714,1119,2016
51023,Botetourt,14724,76,13305,264,1419,249,2016
51520,Bristol City,8818,62,7671,249,1147,244,2016
51830,Williamsburg City,5078,149,4627,205,451,152,2016
51035,Carroll,16599,98,12642,398,3957,385,2016
51191,Washington,25723,102,22512,368,3211,365,2016
51139,Page,11647,41,9523,269,2124,267,2016
51510,Alexandria City,75087,172,68063,685,7024,675,2016
51650,Hampton City,60271,246,53656,713,6615,684,2016
51013,Arlington,110763,227,100707,913,10056,919,2016
51027,Buchanan,11443,63,9124,296,2319,282,2016
51179,Stafford,46427,389,44311,498,2116,357,2016
51760,Richmond City,99883,289,88958,800,10925,709,2016
51057,Essex,5794,36,4447,213,1347,210,2016
51185,Tazewell,20656,93,17595,390,3061,372,2016
51685,Manassas Park City,4892,28,4730,114,162,107,2016
51183,Sussex,4588,541,3793,576,795,134,2016
51683,Manassas City,13385,42,12430,232,955,229,2016
51775,Salem City,10871,144,10060,239,811,232,2016
51037,Charlotte,6288,44,4594,245,1694,236,2016
51081,Greensville,4117,98,3705,157,412,136,2016
51095,James City,31835,119,28352,517,3483,507,2016
51167,Russell,13409,53,10937,369,2472,370,2016
51173,Smyth,15346,107,12930,305,2416,291,2016
51540,Charlottesville City,20134,102,17980,313,2154,310,2016
51093,Isle Of Wight,15104,71,13902,282,1202,277,2016
51620,Franklin City,3879,41,3424,154,455,144,2016
51678,Lexington City,2138,240,1856,232,282,157,2016
51089,Henry,26117,167,22136,369,3981,423,2016
51101,King William,6695,31,6066,166,629,163,2016
51109,Louisa,16823,45,13146,415,3677,408,2016
51147,Prince Edward,9288,276,7294,406,1994,284,2016
51165,Rockingham,34479,104,29883,374,4596,361,2016
51181,Surry,3502,20,2707,126,795,126,2016
51043,Clarke,6283,48,5591,180,692,171,2016
51117,Mecklenburg,18693,135,12066,426,6627,402,2016
51015,Augusta,31899,131,28425,471,3474,458,2016
51075,Goochland,8898,63,8177,240,721,221,2016
51113,Madison,6007,28,5042,211,965,215,2016
51161,Roanoke,40616,127,38322,387,2294,361,2016
51025,Brunswick,8146,83,6148,254,1998,242,2016
51131,Northampton,7342,38,5075,244,2267,241,2016
51163,Rockbridge,11265,38,9277,270,1988,265,2016
51720,Norton City,1958,157,1858,148,100,63,2016
51570,Colonial Heights City,7806,64,7206,186,600,179,2016
51021,Bland,3264,196,2561,243,703,146,2016
51031,Campbell,25249,63,22294,447,2955,437,2016
51087,Henrico,135137,209,125478,888,9659,884,2016
51099,King George,9791,49,8669,240,1122,236,2016
51103,Lancaster,7590,51,5097,279,2493,274,2016
51105,Lee,11718,170,9282,358,2436,309,2016
51115,Mathews,5714,33,3837,266,1877,261,2016
51119,Middlesex,7236,49,4474,266,2762,268,2016
51149,Prince George,12237,177,11191,315,1046,230,2016
51159,Richmond,3894,115,3084,213,810,175,2016
51169,Scott,11874,109,9104,265,2770,240,2016
51177,Spotsylvania,46263,76,43105,401,3158,398,2016
51011,Appomattox,7085,35,5972,192,1113,198,2016
51067,Franklin,29464,112,22976,488,6488,502,2016
51097,King And Queen,3449,17,2807,146,642,146,2016
51121,Montgomery,39209,259,35701,559,3508,516,2016
51127,New Kent,7897,51,7537,159,360,147,2016
51049,Cumberland,4665,21,4085,172,580,175,2016
51051,Dickenson,7517,64,6055,232,1462,229,2016
51083,Halifax,18084,68,14264,377,3820,368,2016
51107,Loudoun,122490,186,117073,667,5417,620,2016
51153,Prince William,144314,183,138102,709,6212,668,2016
51175,Southampton,7550,92,6727,186,823,167,2016
51091,Highland,2005,107,1121,91,884,73,2016
51033,Caroline,11987,357,10965,490,1022,284,2016
51073,Gloucester,16167,88,14511,293,1656,337,2016
51141,Patrick,10091,70,7805,324,2286,316,2016
51145,Powhatan,10416,104,9866,228,550,201,2016
51171,Shenandoah,21066,55,17222,389,3844,382,2016
51061,Fauquier,26241,72,23890,374,2351,356,2016
51790,Staunton City,11793,123,10383,314,1410,298,2016
51065,Fluvanna,10683,73,9829,224,854,220,2016
51007,Amelia,5435,38,4540,247,895,253,2016
51750,Radford City,6526,238,5604,328,922,219,2016
51840,Winchester City,11908,91,10596,323,1312,316,2016
51001,Accomack,21040,250,13819,537,7221,472,2016
51045,Craig,2950,202,2314,171,636,194,2016
51063,Floyd,7902,50,6303,249,1599,242,2016
51071,Giles,8338,63,7290,232,1048,220,2016
51077,Grayson,9166,108,6710,224,2456,196,2016
51135,Nottoway,6712,151,5676,263,1036,211,2016
51157,Rappahannock,3950,21,3247,154,703,152,2016
51036,Charles City,3303,28,2854,81,449,77,2016
51047,Culpeper,18134,82,16904,287,1230,280,2016
51053,Dinwiddie,11580,87,10344,287,1236,270,2016
51079,Greene,7982,30,7107,210,875,219,2016
51085,Hanover,39841,131,37724,412,2117,372,2016
51111,Lunenburg,5935,46,4670,190,1265,185,2016
51137,Orange,14845,67,13245,298,1600,310,2016
51595,Emporia City,2446,184,2210,156,236,108,2016
51197,Wythe,14177,53,12039,364,2138,372,2016
51550,Chesapeake City,87807,260,82573,645,5234,564,2016
51660,Harrisonburg City,18039,173,16626,277,1413,236,2016
51003,Albemarle,43951,459,39431,687,4520,532,2016
