GEOID,County,TotalE,TotalM,Year
51600,Fairfax City,23507,NA,2014
51820,Waynesboro City,21177,NA,2014
51770,Roanoke City,97949,NA,2014
51800,Suffolk City,85477,NA,2014
51710,Norfolk City,244745,NA,2014
51041,Chesterfield,324337,NA,2014
51059,Fairfax,1117072,NA,2014
51093,Isle Of Wight,35518,NA,2014
51620,Franklin City,8534,NA,2014
51678,Lexington City,7114,NA,2014
51089,Henry,52960,NA,2014
51101,King William,16045,NA,2014
51109,Louisa,33743,NA,2014
51147,Prince Edward,23140,NA,2014
51165,Rockingham,77345,NA,2014
51181,Surry,6885,NA,2014
51043,Clarke,14273,NA,2014
51117,Mecklenburg,31913,NA,2014
51015,Augusta,73707,NA,2014
51075,Goochland,21627,NA,2014
51113,Madison,13208,NA,2014
51161,Roanoke,93194,NA,2014
51025,Brunswick,16961,NA,2014
51131,Northampton,12254,NA,2014
51163,Rockbridge,22367,NA,2014
51720,Norton City,4015,NA,2014
51570,Colonial Heights City,17542,NA,2014
51021,Bland,6727,NA,2014
51023,Botetourt,33105,NA,2014
51520,Bristol City,17595,NA,2014
51830,Williamsburg City,14401,NA,2014
51035,Carroll,29881,NA,2014
51191,Washington,54833,NA,2014
51139,Page,23905,NA,2014
51510,Alexandria City,146422,NA,2014
51650,Hampton City,136904,NA,2014
51013,Arlington,220173,NA,2014
51027,Buchanan,23683,NA,2014
51179,Stafford,134672,NA,2014
51760,Richmond City,211063,NA,2014
51057,Essex,11166,NA,2014
51185,Tazewell,44331,NA,2014
51685,Manassas Park City,14992,NA,2014
51183,Sussex,11923,NA,2014
51683,Manassas City,40436,NA,2014
51775,Salem City,25120,NA,2014
51037,Charlotte,12399,NA,2014
51081,Greensville,11911,NA,2014
51095,James City,70673,NA,2015
51167,Russell,28245,NA,2015
51173,Smyth,31734,NA,2015
51540,Charlottesville City,45084,NA,2015
51031,Campbell,55012,NA,2015
51087,Henrico,318864,NA,2015
51099,King George,24933,NA,2015
51103,Lancaster,11129,NA,2015
51105,Lee,25206,NA,2015
51115,Mathews,8880,NA,2015
51119,Middlesex,10717,NA,2015
51149,Prince George,37380,NA,2015
51159,Richmond,8989,NA,2015
51169,Scott,22570,NA,2015
51177,Spotsylvania,127691,NA,2015
51011,Appomattox,15208,NA,2015
51067,Franklin,56315,NA,2015
51097,King And Queen,7106,NA,2015
51121,Montgomery,96467,NA,2015
51127,New Kent,19560,NA,2015
51083,Halifax,35506,NA,2015
51107,Loudoun,351129,NA,2015
51153,Prince William,437271,NA,2015
51175,Southampton,18410,NA,2015
51091,Highland,2244,NA,2015
51033,Caroline,29349,NA,2015
51073,Gloucester,37001,NA,2015
51141,Patrick,18264,NA,2015
51145,Powhatan,28207,NA,2015
51171,Shenandoah,42724,NA,2015
51061,Fauquier,67463,NA,2015
51790,Staunton City,24193,NA,2015
51065,Fluvanna,26014,NA,2015
51007,Amelia,12777,NA,2015
51750,Radford City,17057,NA,2015
51840,Winchester City,27168,NA,2015
51001,Accomack,33115,NA,2015
51045,Craig,5212,NA,2015
51063,Floyd,15523,NA,2015
51071,Giles,16907,NA,2015
51077,Grayson,15573,NA,2015
51135,Nottoway,15711,NA,2015
51157,Rappahannock,7431,NA,2015
51036,Charles City,7118,NA,2015
51047,Culpeper,48424,NA,2015
51053,Dinwiddie,28110,NA,2015
51079,Greene,18938,NA,2015
51085,Hanover,101340,NA,2015
51111,Lunenburg,12558,NA,2015
51137,Orange,34596,NA,2015
51595,Emporia City,5672,NA,2015
51197,Wythe,29190,NA,2015
51550,Chesapeake City,230601,NA,2015
51660,Harrisonburg City,51388,NA,2015
51003,Albemarle,103108,NA,2015
51019,Bedford,76463,NA,2015
51029,Buckingham,17068,NA,2015
51195,Wise,40530,NA,2015
51580,Covington City,5736,NA,2015
51049,Cumberland,9859,NA,2015
51051,Dickenson,15463,NA,2015
51740,Portsmouth City,96135,NA,2015
51810,Virginia Beach City,448290,NA,2015
51005,Alleghany,16066,NA,2015
51640,Galax City,6876,NA,2015
51193,Westmoreland,17557,NA,2015
51133,Northumberland,12304,NA,2015
51155,Pulaski,34528,NA,2015
51187,Warren,38481,NA,2015
51590,Danville City,42450,NA,2015
51630,Fredericksburg City,27395,NA,2015
51009,Amherst,32148,NA,2015
51017,Bath,4583,NA,2015
51670,Hopewell City,22279,NA,2015
51700,Newport News City,181323,NA,2015
51069,Frederick,81340,NA,2015
51680,Lynchburg City,78158,NA,2015
51199,York,66471,NA,2015
51690,Martinsville City,13624,NA,2015
51143,Pittsylvania,62794,NA,2015
51530,Buena Vista City,6666,NA,2015
51610,Falls Church City,13308,NA,2015
51730,Petersburg City,32123,NA,2015
51735,Poquoson City,12077,NA,2015
51600,Fairfax City,23402,NA,2015
51820,Waynesboro City,21150,NA,2015
51770,Roanoke City,98736,NA,2015
51800,Suffolk City,86184,NA,2015
51710,Norfolk City,245452,NA,2015
51041,Chesterfield,328176,NA,2015
51059,Fairfax,1128722,NA,2015
51125,Nelson,14858,NA,2015
51093,Isle Of Wight,35740,NA,2015
51620,Franklin City,8457,NA,2015
51678,Lexington City,7071,NA,2015
51089,Henry,52580,NA,2015
51101,King William,16097,NA,2015
51109,Louisa,33986,NA,2015
51147,Prince Edward,23022,NA,2015
51165,Rockingham,77785,NA,2015
51181,Surry,6823,NA,2015
51043,Clarke,14299,NA,2015
51117,Mecklenburg,31555,NA,2015
51015,Augusta,74053,NA,2015
51075,Goochland,21721,NA,2015
51113,Madison,13147,NA,2015
51161,Roanoke,93633,NA,2015
51025,Brunswick,16930,NA,2015
51131,Northampton,12184,NA,2015
51163,Rockbridge,22444,NA,2015
51720,Norton City,4007,NA,2015
51570,Colonial Heights City,17515,NA,2015
51021,Bland,6662,NA,2015
51023,Botetourt,33155,NA,2015
51520,Bristol City,17524,NA,2015
51830,Williamsburg City,14754,NA,2015
51035,Carroll,29856,NA,2015
51191,Washington,54759,NA,2015
51139,Page,23843,NA,2015
51510,Alexandria City,149315,NA,2015
51650,Hampton City,137081,NA,2015
51013,Arlington,223945,NA,2015
51027,Buchanan,23486,NA,2015
51179,Stafford,137145,NA,2015
51760,Richmond City,213735,NA,2015
51057,Essex,11151,NA,2015
51185,Tazewell,43870,NA,2015
51685,Manassas Park City,15625,NA,2015
51183,Sussex,11864,NA,2015
51683,Manassas City,40743,NA,2015
51775,Salem City,25165,NA,2015
51037,Charlotte,12313,NA,2015
51081,Greensville,11760,NA,2015
51810,Virginia Beach City,449733,NA,2016
51005,Alleghany,15919,NA,2016
51640,Galax City,6858,NA,2016
51193,Westmoreland,17528,NA,2016
51133,Northumberland,12272,NA,2016
51155,Pulaski,34417,NA,2016
51187,Warren,38807,NA,2016
51590,Danville City,42360,NA,2016
51630,Fredericksburg City,27853,NA,2016
51009,Amherst,31999,NA,2016
51017,Bath,4558,NA,2016
51670,Hopewell City,22332,NA,2016
51700,Newport News City,181606,NA,2016
51069,Frederick,82321,NA,2016
51680,Lynchburg City,78755,NA,2016
51199,York,66919,NA,2016
51690,Martinsville City,13551,NA,2016
51125,Nelson,14831,NA,2016
51143,Pittsylvania,62392,NA,2016
51530,Buena Vista City,6610,NA,2016
51610,Falls Church City,13597,NA,2016
51730,Petersburg City,31997,NA,2016
51735,Poquoson City,12068,NA,2016
51600,Fairfax City,23620,NA,2016
51820,Waynesboro City,21366,NA,2016
51770,Roanoke City,99329,NA,2016
51800,Suffolk City,87061,NA,2016
51710,Norfolk City,245724,NA,2016
51041,Chesterfield,331839,NA,2016
51059,Fairfax,1132887,NA,2016
51023,Botetourt,33192,NA,2016
51520,Bristol City,17340,NA,2016
51830,Williamsburg City,14988,NA,2016
51035,Carroll,29733,NA,2016
51191,Washington,54562,NA,2016
51139,Page,23759,NA,2016
51510,Alexandria City,151473,NA,2016
51650,Hampton City,136789,NA,2016
51013,Arlington,226092,NA,2016
51027,Buchanan,23158,NA,2016
51179,Stafford,139548,NA,2016
51760,Richmond City,216773,NA,2016
51057,Essex,11130,NA,2016
51185,Tazewell,43367,NA,2016
51685,Manassas Park City,15827,NA,2016
51183,Sussex,11733,NA,2016
51683,Manassas City,41149,NA,2016
51775,Salem City,25290,NA,2016
51037,Charlotte,12232,NA,2016
51081,Greensville,11698,NA,2016
51095,James City,71900,NA,2016
51167,Russell,27973,NA,2016
51173,Smyth,31513,NA,2016
51540,Charlottesville City,45538,NA,2016
51093,Isle Of Wight,36027,NA,2016
51620,Franklin City,8413,NA,2016
51678,Lexington City,7036,NA,2016
51089,Henry,52209,NA,2016
51101,King William,16156,NA,2016
51109,Louisa,34350,NA,2016
51147,Prince Edward,23077,NA,2016
51165,Rockingham,78427,NA,2016
51181,Surry,6731,NA,2016
51043,Clarke,14307,NA,2016
51117,Mecklenburg,31209,NA,2016
51015,Augusta,74330,NA,2016
51075,Goochland,21979,NA,2016
51113,Madison,13122,NA,2016
51161,Roanoke,93655,NA,2016
51025,Brunswick,16573,NA,2016
51131,Northampton,12118,NA,2016
51163,Rockbridge,22450,NA,2016
51720,Norton City,3978,NA,2016
51570,Colonial Heights City,17554,NA,2016
51021,Bland,6612,NA,2016
51031,Campbell,55061,NA,2016
51087,Henrico,321921,NA,2016
51099,King George,25260,NA,2016
51103,Lancaster,11055,NA,2016
51105,Lee,24911,NA,2016
51115,Mathews,8848,NA,2016
51119,Middlesex,10728,NA,2016
51149,Prince George,37664,NA,2016
51159,Richmond,8868,NA,2016
51169,Scott,22378,NA,2016
51177,Spotsylvania,129181,NA,2016
51011,Appomattox,15314,NA,2016
51067,Franklin,56230,NA,2016
51097,King And Queen,7140,NA,2016
51121,Montgomery,97227,NA,2016
51127,New Kent,20051,NA,2016
51049,Cumberland,9769,NA,2016
51051,Dickenson,15304,NA,2016
51083,Halifax,35305,NA,2016
51107,Loudoun,362435,NA,2016
51153,Prince William,443630,NA,2016
51175,Southampton,18291,NA,2016
51091,Highland,2230,NA,2016
51033,Caroline,29640,NA,2016
51073,Gloucester,37021,NA,2016
51141,Patrick,18180,NA,2016
51145,Powhatan,28286,NA,2016
51171,Shenandoah,42857,NA,2016
51061,Fauquier,68025,NA,2016
51790,Staunton City,24234,NA,2016
51065,Fluvanna,26046,NA,2016
51007,Amelia,12793,NA,2016
51750,Radford City,17186,NA,2016
51840,Winchester City,27349,NA,2016
51001,Accomack,33060,NA,2016
51045,Craig,5195,NA,2016
51063,Floyd,15587,NA,2016
51071,Giles,16871,NA,2016
51077,Grayson,15180,NA,2016
51135,Nottoway,15641,NA,2016
51157,Rappahannock,7416,NA,2016
51036,Charles City,7086,NA,2016
51047,Culpeper,48952,NA,2016
51053,Dinwiddie,28155,NA,2016
51079,Greene,19085,NA,2016
51085,Hanover,102199,NA,2016
51111,Lunenburg,12450,NA,2016
51137,Orange,34873,NA,2016
51595,Emporia City,5565,NA,2016
51197,Wythe,29171,NA,2016
51550,Chesapeake City,233194,NA,2016
51660,Harrisonburg City,51979,NA,2016
51003,Albemarle,104287,NA,2016
51019,Bedford,76933,NA,2016
51029,Buckingham,17030,NA,2016
51195,Wise,40074,NA,2016
51580,Covington City,5650,NA,2016
51740,Portsmouth City,96071,NA,2016
51093,Isle Of Wight,36090,NA,2017
51095,James City,73028,NA,2017
51167,Russell,27725,NA,2017
51620,Franklin City,8334,NA,2017
51173,Smyth,31298,NA,2017
51540,Charlottesville City,46487,NA,2017
51678,Lexington City,7113,NA,2017
51031,Campbell,55158,NA,2017
51087,Henrico,324073,NA,2017
51089,Henry,51956,NA,2017
51099,King George,25564,NA,2017
51101,King William,16329,NA,2017
51103,Lancaster,10848,NA,2017
51105,Lee,24428,NA,2017
51109,Louisa,34813,NA,2017
51115,Mathews,8830,NA,2017
51119,Middlesex,10710,NA,2017
51147,Prince Edward,22903,NA,2017
51149,Prince George,37704,NA,2017
51159,Richmond,8873,NA,2017
51165,Rockingham,78653,NA,2017
51169,Scott,22290,NA,2017
51177,Spotsylvania,130159,NA,2017
51181,Surry,6670,NA,2017
51011,Appomattox,15462,NA,2017
51043,Clarke,14331,NA,2017
51067,Franklin,56277,NA,2017
51097,King And Queen,7052,NA,2017
51117,Mecklenburg,30959,NA,2017
51121,Montgomery,97692,NA,2017
51127,New Kent,20523,NA,2017
51015,Augusta,74390,NA,2017
51049,Cumberland,9797,NA,2017
51051,Dickenson,15181,NA,2017
51075,Goochland,22148,NA,2017
51083,Halifax,35030,NA,2017
51107,Loudoun,374558,NA,2017
51113,Madison,13108,NA,2017
51153,Prince William,450763,NA,2017
51161,Roanoke,93419,NA,2017
51175,Southampton,18089,NA,2017
51091,Highland,2213,NA,2017
51025,Brunswick,16435,NA,2017
51033,Caroline,29889,NA,2017
51073,Gloucester,37035,NA,2017
51131,Northampton,11998,NA,2017
51141,Patrick,17958,NA,2017
51145,Powhatan,28364,NA,2017
51163,Rockbridge,22440,NA,2017
51171,Shenandoah,42854,NA,2017
51061,Fauquier,68406,NA,2017
51720,Norton City,4043,NA,2017
51790,Staunton City,24273,NA,2017
51065,Fluvanna,26109,NA,2017
51007,Amelia,12802,NA,2017
51750,Radford City,17380,NA,2017
51840,Winchester City,27516,NA,2017
51001,Accomack,32840,NA,2017
51045,Craig,5131,NA,2017
51063,Floyd,15594,NA,2017
51071,Giles,16867,NA,2017
51077,Grayson,15708,NA,2017
51135,Nottoway,15537,NA,2017
51157,Rappahannock,7359,NA,2017
51036,Charles City,7022,NA,2017
51047,Culpeper,49795,NA,2017
51053,Dinwiddie,28033,NA,2017
51079,Greene,19213,NA,2017
51085,Hanover,103218,NA,2017
51111,Lunenburg,12369,NA,2017
51137,Orange,35265,NA,2017
51595,Emporia City,5495,NA,2017
51197,Wythe,29048,NA,2017
51550,Chesapeake City,235410,NA,2017
51570,Colonial Heights City,17582,NA,2017
51660,Harrisonburg City,53064,NA,2017
51003,Albemarle,105105,NA,2017
51021,Bland,6524,NA,2017
51019,Bedford,77319,NA,2017
51023,Botetourt,33149,NA,2017
51029,Buckingham,17048,NA,2017
51195,Wise,39539,NA,2017
51520,Bristol City,17077,NA,2017
51580,Covington City,5675,NA,2017
51740,Portsmouth City,95536,NA,2017
51830,Williamsburg City,14817,NA,2017
51810,Virginia Beach City,450057,NA,2017
51005,Alleghany,15489,NA,2017
51035,Carroll,29767,NA,2017
51640,Galax City,6788,NA,2017
51191,Washington,54457,NA,2017
51193,Westmoreland,17596,NA,2017
51133,Northumberland,12254,NA,2017
51139,Page,23694,NA,2017
51155,Pulaski,34330,NA,2017
51187,Warren,38991,NA,2017
51510,Alexandria City,154710,NA,2017
51590,Danville City,41911,NA,2017
51630,Fredericksburg City,28135,NA,2017
51650,Hampton City,136255,NA,2017
51009,Amherst,31819,NA,2017
51013,Arlington,229534,NA,2017
51017,Bath,4458,NA,2017
51670,Hopewell City,22353,NA,2017
51027,Buchanan,22611,NA,2017
51700,Newport News City,180775,NA,2017
51069,Frederick,83784,NA,2017
51179,Stafford,141159,NA,2017
51680,Lynchburg City,79237,NA,2017
51199,York,67196,NA,2017
51760,Richmond City,220892,NA,2017
51690,Martinsville City,13256,NA,2017
51125,Nelson,14863,NA,2017
51057,Essex,11083,NA,2017
51143,Pittsylvania,61970,NA,2017
51185,Tazewell,42689,NA,2017
51530,Buena Vista City,6495,NA,2017
51610,Falls Church City,13843,NA,2017
51685,Manassas Park City,16117,NA,2017
51730,Petersburg City,32037,NA,2017
51735,Poquoson City,12022,NA,2017
51183,Sussex,11595,NA,2017
51600,Fairfax City,23580,NA,2017
51820,Waynesboro City,21620,NA,2017
51683,Manassas City,41379,NA,2017
51770,Roanoke City,99572,NA,2017
51775,Salem City,25521,NA,2017
51800,Suffolk City,88057,NA,2017
51710,Norfolk City,245752,NA,2017
51037,Charlotte,12176,NA,2017
51041,Chesterfield,335594,NA,2017
51059,Fairfax,1142004,NA,2017
51081,Greensville,11606,NA,2017
51095,James City,74153,NA,2018
51167,Russell,27408,NA,2018
51173,Smyth,31059,NA,2018
51540,Charlottesville City,47042,NA,2018
51031,Campbell,55170,NA,2018
51087,Henrico,325642,NA,2018
51099,King George,25890,NA,2018
51103,Lancaster,10804,NA,2018
51105,Lee,24134,NA,2018
51115,Mathews,8796,NA,2018
51119,Middlesex,10700,NA,2018
51149,Prince George,37894,NA,2018
51159,Richmond,8878,NA,2018
51169,Scott,22009,NA,2018
51177,Spotsylvania,131412,NA,2018
51011,Appomattox,15577,NA,2018
51067,Franklin,56233,NA,2018
51097,King And Queen,7052,NA,2018
51121,Montgomery,97997,NA,2018
51127,New Kent,21103,NA,2018
51049,Cumberland,9786,NA,2018
51051,Dickenson,14960,NA,2018
51083,Halifax,34779,NA,2018
51107,Loudoun,385143,NA,2018
51153,Prince William,456749,NA,2018
51175,Southampton,17939,NA,2018
51091,Highland,2214,NA,2018
51033,Caroline,30184,NA,2018
51073,Gloucester,37161,NA,2018
51141,Patrick,17859,NA,2018
51145,Powhatan,28574,NA,2018
51171,Shenandoah,43045,NA,2018
51061,Fauquier,69115,NA,2018
51790,Staunton City,24452,NA,2018
51065,Fluvanna,26282,NA,2018
51007,Amelia,12854,NA,2018
51750,Radford City,17630,NA,2018
51840,Winchester City,27789,NA,2018
51001,Accomack,32742,NA,2018
51045,Craig,5113,NA,2018
51063,Floyd,15666,NA,2018
51071,Giles,16814,NA,2018
51077,Grayson,15811,NA,2018
51135,Nottoway,15500,NA,2018
51157,Rappahannock,7332,NA,2018
51036,Charles City,6995,NA,2018
51047,Culpeper,50450,NA,2018
51053,Dinwiddie,28308,NA,2018
51079,Greene,19410,NA,2018
51085,Hanover,104449,NA,2018
51111,Lunenburg,12278,NA,2018
51137,Orange,35612,NA,2018
51595,Emporia City,5381,NA,2018
51197,Wythe,28940,NA,2018
51550,Chesapeake City,237820,NA,2018
51660,Harrisonburg City,53391,NA,2018
51003,Albemarle,106355,NA,2018
51019,Bedford,77908,NA,2018
51029,Buckingham,17004,NA,2018
51195,Wise,39025,NA,2018
51580,Covington City,5582,NA,2018
51740,Portsmouth City,95311,NA,2018
51810,Virginia Beach City,450135,NA,2018
51005,Alleghany,15286,NA,2018
51640,Galax City,6638,NA,2018
51193,Westmoreland,17638,NA,2018
51133,Northumberland,12223,NA,2018
51155,Pulaski,34234,NA,2018
51187,Warren,39449,NA,2018
51590,Danville City,41512,NA,2018
51630,Fredericksburg City,28469,NA,2018
51009,Amherst,31882,NA,2018
51017,Bath,4393,NA,2018
51670,Hopewell City,22408,NA,2018
51700,Newport News City,180145,NA,2018
51069,Frederick,85153,NA,2018
51680,Lynchburg City,80131,NA,2018
51199,York,67587,NA,2018
51690,Martinsville City,13101,NA,2018
51125,Nelson,14812,NA,2018
51143,Pittsylvania,61676,NA,2018
51530,Buena Vista City,6399,NA,2018
51610,Falls Church City,14067,NA,2018
51730,Petersburg City,31827,NA,2018
51735,Poquoson City,12039,NA,2018
51600,Fairfax City,23865,NA,2018
51820,Waynesboro City,21926,NA,2018
51770,Roanoke City,99621,NA,2018
51800,Suffolk City,89160,NA,2018
51710,Norfolk City,245592,NA,2018
51041,Chesterfield,339447,NA,2018
51059,Fairfax,1143529,NA,2018
51093,Isle Of Wight,36372,NA,2018
51620,Franklin City,8211,NA,2018
51678,Lexington City,7110,NA,2018
51089,Henry,51588,NA,2018
51101,King William,16497,NA,2018
51109,Louisa,35380,NA,2018
51147,Prince Edward,22956,NA,2018
51165,Rockingham,79444,NA,2018
51181,Surry,6600,NA,2018
51043,Clarke,14365,NA,2018
51117,Mecklenburg,30847,NA,2018
51015,Augusta,74701,NA,2018
51075,Goochland,22482,NA,2018
51113,Madison,13139,NA,2018
51161,Roanoke,93583,NA,2018
51025,Brunswick,16665,NA,2018
51131,Northampton,11957,NA,2018
51163,Rockbridge,22509,NA,2018
51720,Norton City,3990,NA,2018
51570,Colonial Heights City,17593,NA,2018
51021,Bland,6447,NA,2018
51023,Botetourt,33222,NA,2018
51520,Bristol City,16843,NA,2018
51830,Williamsburg City,14788,NA,2018
51035,Carroll,29738,NA,2018
51191,Washington,54406,NA,2018
51139,Page,23749,NA,2018
51510,Alexandria City,156505,NA,2018
51650,Hampton City,135583,NA,2018
51013,Arlington,231803,NA,2018
51027,Buchanan,22138,NA,2018
51179,Stafford,144012,NA,2018
51760,Richmond City,223787,NA,2018
51057,Essex,11036,NA,2018
51185,Tazewell,42080,NA,2018
51685,Manassas Park City,16423,NA,2018
51183,Sussex,11486,NA,2018
51683,Manassas City,41457,NA,2018
51775,Salem City,25519,NA,2018
51037,Charlotte,12095,NA,2018
51081,Greensville,11659,NA,2018
51181,Surry,6523,NA,2019
51043,Clarke,14423,NA,2019
51117,Mecklenburg,30728,NA,2019
51015,Augusta,75079,NA,2019
51075,Goochland,22865,NA,2019
51113,Madison,13170,NA,2019
51161,Roanoke,93823,NA,2019
51025,Brunswick,16520,NA,2019
51131,Northampton,11885,NA,2019
51163,Rockbridge,22570,NA,2019
51720,Norton City,3970,NA,2019
51570,Colonial Heights City,17428,NA,2019
51021,Bland,6388,NA,2019
51023,Botetourt,33343,NA,2019
51520,Bristol City,16912,NA,2019
51830,Williamsburg City,14927,NA,2019
51035,Carroll,29801,NA,2019
51191,Washington,54071,NA,2019
51139,Page,23788,NA,2019
51510,Alexandria City,157613,NA,2019
51650,Hampton City,135041,NA,2019
51013,Arlington,233464,NA,2019
51027,Buchanan,21788,NA,2019
51179,Stafford,146773,NA,2019
51760,Richmond City,226622,NA,2019
51057,Essex,10998,NA,2019
51185,Tazewell,41603,NA,2019
51685,Manassas Park City,16986,NA,2019
51183,Sussex,11377,NA,2019
51683,Manassas City,41174,NA,2019
51775,Salem City,25317,NA,2019
51037,Charlotte,12040,NA,2019
51081,Greensville,11525,NA,2019
51093,Isle Of Wight,36627,NA,2019
51620,Franklin City,8147,NA,2019
51678,Lexington City,7241,NA,2019
51089,Henry,51308,NA,2019
51101,King William,16688,NA,2019
51109,Louisa,36040,NA,2019
51147,Prince Edward,22905,NA,2019
51165,Rockingham,80284,NA,2019
51095,James City,74916,NA,2019
