GEOID,County,TotalE,TotalM,Year
51167,Russell,27141,NA,2019
51173,Smyth,30767,NA,2019
51540,Charlottesville City,47096,NA,2019
51031,Campbell,55225,NA,2019
51087,Henrico,327535,NA,2019
51099,King George,26229,NA,2019
51103,Lancaster,10724,NA,2019
51105,Lee,23948,NA,2019
51115,Mathews,8788,NA,2019
51119,Middlesex,10675,NA,2019
51149,Prince George,38114,NA,2019
51159,Richmond,8884,NA,2019
51169,Scott,21902,NA,2019
51177,Spotsylvania,132833,NA,2019
51011,Appomattox,15707,NA,2019
51067,Franklin,56187,NA,2019
51097,King And Queen,7042,NA,2019
51121,Montgomery,98140,NA,2019
51127,New Kent,21686,NA,2019
51049,Cumberland,9824,NA,2019
51051,Dickenson,14756,NA,2019
51083,Halifax,34552,NA,2019
51107,Loudoun,395134,NA,2019
51153,Prince William,461423,NA,2019
51175,Southampton,17880,NA,2019
51091,Highland,2204,NA,2019
51033,Caroline,30381,NA,2019
51073,Gloucester,37222,NA,2019
51141,Patrick,17748,NA,2019
51145,Powhatan,28815,NA,2019
51171,Shenandoah,43224,NA,2019
51061,Fauquier,69728,NA,2019
51790,Staunton City,24432,NA,2019
51065,Fluvanna,26594,NA,2019
51750,Radford City,17691,NA,2019
51840,Winchester City,27897,NA,2019
51001,Accomack,32673,NA,2019
51045,Craig,5110,NA,2019
51063,Floyd,15704,NA,2019
51071,Giles,16772,NA,2019
51077,Grayson,15742,NA,2019
51135,Nottoway,15433,NA,2019
51157,Rappahannock,7378,NA,2019
51036,Charles City,7014,NA,2019
51047,Culpeper,51101,NA,2019
51053,Dinwiddie,28485,NA,2019
51079,Greene,19519,NA,2019
51085,Hanover,105537,NA,2019
51111,Lunenburg,12282,NA,2019
51137,Orange,36010,NA,2019
51595,Emporia City,5442,NA,2019
51197,Wythe,28844,NA,2019
51550,Chesapeake City,239982,NA,2019
51660,Harrisonburg City,53273,NA,2019
51003,Albemarle,107405,NA,2019
51019,Bedford,78376,NA,2019
51029,Buckingham,17059,NA,2019
51195,Wise,38486,NA,2019
51580,Covington City,5598,NA,2019
51740,Portsmouth City,95097,NA,2019
51810,Virginia Beach City,450201,NA,2019
51005,Alleghany,15157,NA,2019
51640,Galax City,6517,NA,2019
51193,Westmoreland,17751,NA,2019
51133,Northumberland,12190,NA,2019
51155,Pulaski,34182,NA,2019
51187,Warren,39492,NA,2019
51590,Danville City,41070,NA,2019
51630,Fredericksburg City,28622,NA,2019
51009,Amherst,31775,NA,2019
51017,Bath,4307,NA,2019
51670,Hopewell City,22456,NA,2019
51700,Newport News City,179673,NA,2019
51069,Frederick,86415,NA,2019
51680,Lynchburg City,80569,NA,2019
51199,York,67982,NA,2019
51690,Martinsville City,12852,NA,2019
51125,Nelson,14831,NA,2019
51143,Pittsylvania,61256,NA,2019
51530,Buena Vista City,6484,NA,2019
51610,Falls Church City,14128,NA,2019
51730,Petersburg City,31362,NA,2019
51735,Poquoson City,12090,NA,2019
51600,Fairfax City,23531,NA,2019
51820,Waynesboro City,22140,NA,2019
51770,Roanoke City,99229,NA,2019
51800,Suffolk City,90093,NA,2019
51710,Norfolk City,244601,NA,2019
51007,Amelia,12953,NA,2019
51041,Chesterfield,343551,NA,2019
51059,Fairfax,1145862,NA,2019
51001,Accomack,32560,NA,2020
51005,Alleghany,15030,NA,2020
51007,Amelia,12970,NA,2020
51011,Appomattox,15814,NA,2020
51013,Arlington,236434,NA,2020
51017,Bath,4248,NA,2020
51019,Bedford,78965,NA,2020
51023,Botetourt,33440,NA,2020
51025,Brunswick,16336,NA,2020
51029,Buckingham,17087,NA,2020
51031,Campbell,55406,NA,2020
51035,Carroll,29911,NA,2020
51036,Charles City,6965,NA,2020
51037,Charlotte,11953,NA,2020
51043,Clarke,14498,NA,2020
51045,Craig,5103,NA,2020
51049,Cumberland,9869,NA,2020
51051,Dickenson,14524,NA,2020
51057,Essex,10960,NA,2020
51059,Fairfax,1149439,NA,2020
51063,Floyd,15766,NA,2020
51065,Fluvanna,26873,NA,2020
51069,Frederick,88054,NA,2020
51071,Giles,16760,NA,2020
51075,Goochland,23472,NA,2020
51077,Grayson,15651,NA,2020
51081,Greensville,11403,NA,2020
51083,Halifax,34295,NA,2020
51087,Henrico,330076,NA,2020
51089,Henry,51032,NA,2020
51093,Isle Of Wight,37107,NA,2020
51095,James City,76032,NA,2020
51097,King And Queen,7011,NA,2020
51099,King George,26679,NA,2020
51101,King William,16985,NA,2020
51103,Lancaster,10686,NA,2020
51105,Lee,23723,NA,2020
51107,Loudoun,405312,NA,2020
51109,Louisa,36654,NA,2020
51111,Lunenburg,12294,NA,2020
51113,Madison,13208,NA,2020
51115,Mathews,8760,NA,2020
51117,Mecklenburg,30726,NA,2020
51119,Middlesex,10642,NA,2020
51121,Montgomery,98495,NA,2020
51125,Nelson,14812,NA,2020
51127,New Kent,22310,NA,2020
51131,Northampton,11826,NA,2020
51133,Northumberland,12151,NA,2020
51135,Nottoway,15338,NA,2020
51137,Orange,36501,NA,2020
51139,Page,23862,NA,2020
51141,Patrick,17660,NA,2020
51145,Powhatan,29253,NA,2020
51147,Prince Edward,22892,NA,2020
51149,Prince George,38292,NA,2020
51155,Pulaski,34113,NA,2020
51157,Rappahannock,7360,NA,2020
51161,Roanoke,94103,NA,2020
51163,Rockbridge,22728,NA,2020
51167,Russell,26937,NA,2020
51169,Scott,21761,NA,2020
51173,Smyth,30539,NA,2020
51175,Southampton,17829,NA,2020
51179,Stafford,150185,NA,2020
51181,Surry,6459,NA,2020
51185,Tazewell,41201,NA,2020
51187,Warren,39888,NA,2020
51193,Westmoreland,17873,NA,2020
51195,Wise,38032,NA,2020
51199,York,68389,NA,2020
51510,Alexandria City,158309,NA,2020
51530,Buena Vista City,6477,NA,2020
51540,Charlottesville City,47217,NA,2020
51570,Colonial Heights City,17283,NA,2020
51580,Covington City,5653,NA,2020
51590,Danville City,40668,NA,2020
51600,Fairfax City,23312,NA,2020
51610,Falls Church City,14309,NA,2020
51630,Fredericksburg City,29059,NA,2020
51640,Galax City,6402,NA,2020
51660,Harrisonburg City,53558,NA,2020
51670,Hopewell City,22500,NA,2020
51680,Lynchburg City,80970,NA,2020
51683,Manassas City,41038,NA,2020
51690,Martinsville City,12646,NA,2020
51700,Newport News City,179582,NA,2020
51720,Norton City,3969,NA,2020
51730,Petersburg City,30791,NA,2020
51740,Portsmouth City,94961,NA,2020
51750,Radford City,17833,NA,2020
51770,Roanoke City,99122,NA,2020
51775,Salem City,25290,NA,2020
51790,Staunton City,24660,NA,2020
51800,Suffolk City,91383,NA,2020
51810,Virginia Beach City,450882,NA,2020
51820,Waynesboro City,22300,NA,2020
51830,Williamsburg City,15034,NA,2020
51840,Winchester City,27912,NA,2020
51003,Albemarle,108819,NA,2020
51009,Amherst,31782,NA,2020
51015,Augusta,75754,NA,2020
51021,Bland,6334,NA,2020
51027,Buchanan,21374,NA,2020
51033,Caroline,30581,NA,2020
51041,Chesterfield,348500,NA,2020
51047,Culpeper,51935,NA,2020
51053,Dinwiddie,28686,NA,2020
51061,Fauquier,70353,NA,2020
51067,Franklin,56231,NA,2020
51073,Gloucester,37362,NA,2020
51079,Greene,19734,NA,2020
51085,Hanover,106538,NA,2020
51091,Highland,2202,NA,2020
51143,Pittsylvania,60867,NA,2020
51153,Prince William,466834,NA,2020
51159,Richmond,8951,NA,2020
51165,Rockingham,81138,NA,2020
51171,Shenandoah,43441,NA,2020
51177,Spotsylvania,134683,NA,2020
51183,Sussex,11202,NA,2020
51191,Washington,54005,NA,2020
51197,Wythe,28725,NA,2020
51520,Bristol City,17059,NA,2020
51550,Chesapeake City,242647,NA,2020
51595,Emporia City,5408,NA,2020
51620,Franklin City,8015,NA,2020
51650,Hampton City,135169,NA,2020
51678,Lexington City,7205,NA,2020
51685,Manassas Park City,17548,NA,2020
51710,Norfolk City,244300,NA,2020
51735,Poquoson City,12121,NA,2020
51760,Richmond City,229233,NA,2020
51001,Accomack,33388,NA,2021
51003,Albemarle,111438,NA,2021
51005,Alleghany,15266,NA,2021
51007,Amelia,13220,NA,2021
51009,Amherst,31381,NA,2021
51011,Appomattox,16039,NA,2021
51013,Arlington,235764,NA,2021
51015,Augusta,76948,NA,2021
51017,Bath,4243,NA,2021
51019,Bedford,79183,NA,2021
51021,Bland,6278,NA,2021
51023,Botetourt,33542,NA,2021
51025,Brunswick,16044,NA,2021
51027,Buchanan,20615,NA,2021
51029,Buckingham,16832,NA,2021
51031,Campbell,55656,NA,2021
51033,Caroline,30861,NA,2021
51035,Carroll,29123,NA,2021
51036,Charles City,6817,NA,2021
51037,Charlotte,11605,NA,2021
51041,Chesterfield,359798,NA,2021
51043,Clarke,14726,NA,2021
51045,Craig,4914,NA,2021
51047,Culpeper,52021,NA,2021
51049,Cumberland,9669,NA,2021
51051,Dickenson,14256,NA,2021
51053,Dinwiddie,28040,NA,2021
51057,Essex,10621,NA,2021
51059,Fairfax,1146825,NA,2021
51061,Fauquier,72416,NA,2021
51063,Floyd,15536,NA,2021
51065,Fluvanna,27078,NA,2021
51067,Franklin,54829,NA,2021
51069,Frederick,90287,NA,2021
51071,Giles,16764,NA,2021
51073,Gloucester,38586,NA,2021
51075,Goochland,24300,NA,2021
51077,Grayson,15418,NA,2021
51079,Greene,20374,NA,2021
51081,Greensville,11465,NA,2021
51083,Halifax,34228,NA,2021
51085,Hanover,109232,NA,2021
51087,Henrico,331924,NA,2021
51089,Henry,51077,NA,2021
51091,Highland,2229,NA,2021
51093,Isle Of Wight,38301,NA,2021
51095,James City,77733,NA,2021
51097,King And Queen,6690,NA,2021
51099,King George,26597,NA,2021
51101,King William,17511,NA,2021
51103,Lancaster,10916,NA,2021
51105,Lee,22482,NA,2021
51107,Loudoun,413574,NA,2021
51109,Louisa,37136,NA,2021
51111,Lunenburg,11982,NA,2021
51113,Madison,13731,NA,2021
51115,Mathews,8548,NA,2021
51117,Mecklenburg,30347,NA,2021
51119,Middlesex,10686,NA,2021
51121,Montgomery,99294,NA,2021
51125,Nelson,14795,NA,2021
51127,New Kent,22519,NA,2021
51131,Northampton,12226,NA,2021
51133,Northumberland,11965,NA,2021
51135,Nottoway,15667,NA,2021
51137,Orange,36001,NA,2021
51139,Page,23734,NA,2021
51141,Patrick,17661,NA,2021
51143,Pittsylvania,60833,NA,2021
51145,Powhatan,29979,NA,2021
51147,Prince Edward,21887,NA,2021
51149,Prince George,42170,NA,2021
51153,Prince William,477224,NA,2021
51155,Pulaski,33893,NA,2021
51157,Rappahannock,7400,NA,2021
51159,Richmond,8902,NA,2021
51161,Roanoke,96303,NA,2021
51163,Rockbridge,22663,NA,2021
51165,Rockingham,83090,NA,2021
51167,Russell,25932,NA,2021
51169,Scott,21576,NA,2021
51171,Shenandoah,44037,NA,2021
51173,Smyth,29960,NA,2021
51175,Southampton,18028,NA,2021
51177,Spotsylvania,138493,NA,2021
51179,Stafford,154204,NA,2021
51181,Surry,6563,NA,2021
51183,Sussex,10960,NA,2021
51185,Tazewell,40615,NA,2021
51187,Warren,40442,NA,2021
51191,Washington,53997,NA,2021
51193,Westmoreland,18324,NA,2021
51195,Wise,36531,NA,2021
51197,Wythe,28347,NA,2021
51199,York,69635,NA,2021
51510,Alexandria City,158185,NA,2021
51520,Bristol City,16996,NA,2021
51530,Buena Vista City,6649,NA,2021
51540,Charlottesville City,46597,NA,2021
51550,Chesapeake City,247172,NA,2021
51570,Colonial Heights City,18127,NA,2021
51580,Covington City,5716,NA,2021
51590,Danville City,42556,NA,2021
51595,Emporia City,5761,NA,2021
51600,Fairfax City,23980,NA,2021
51610,Falls Church City,14494,NA,2021
51620,Franklin City,8249,NA,2021
51630,Fredericksburg City,28027,NA,2021
51640,Galax City,6681,NA,2021
51650,Hampton City,136748,NA,2021
51660,Harrisonburg City,52062,NA,2021
51670,Hopewell City,23020,NA,2021
51678,Lexington City,7287,NA,2021
51680,Lynchburg City,78973,NA,2021
51683,Manassas City,42596,NA,2021
51685,Manassas Park City,17081,NA,2021
51690,Martinsville City,13476,NA,2021
51700,Newport News City,185069,NA,2021
51710,Norfolk City,238556,NA,2021
51720,Norton City,3696,NA,2021
51730,Petersburg City,33229,NA,2021
51735,Poquoson City,12382,NA,2021
51740,Portsmouth City,97454,NA,2021
51750,Radford City,16205,NA,2021
51760,Richmond City,225676,NA,2021
51770,Roanoke City,99578,NA,2021
51775,Salem City,25335,NA,2021
51790,Staunton City,25358,NA,2021
51800,Suffolk City,93268,NA,2021
51810,Virginia Beach City,457658,NA,2021
51820,Waynesboro City,22149,NA,2021
51830,Williamsburg City,15299,NA,2021
51840,Winchester City,28194,NA,2021
51001,Accomack,33367,NA,2022
51003,Albemarle,112513,NA,2022
51005,Alleghany,15159,NA,2022
51007,Amelia,13309,NA,2022
51009,Amherst,31426,NA,2022
51011,Appomattox,16253,NA,2022
51013,Arlington,235845,NA,2022
51015,Augusta,77433,NA,2022
51017,Bath,4177,NA,2022
51019,Bedford,79761,NA,2022
51021,Bland,6241,NA,2022
51023,Botetourt,33734,NA,2022
51025,Brunswick,15965,NA,2022
51027,Buchanan,20246,NA,2022
51029,Buckingham,16869,NA,2022
51031,Campbell,55518,NA,2022
51033,Caroline,31181,NA,2022
51035,Carroll,29126,NA,2022
51036,Charles City,6760,NA,2022
51037,Charlotte,11563,NA,2022
51041,Chesterfield,366019,NA,2022
51043,Clarke,14882,NA,2022
51045,Craig,4898,NA,2022
51047,Culpeper,52822,NA,2022
51049,Cumberland,9697,NA,2022
51051,Dickenson,14089,NA,2022
51053,Dinwiddie,28057,NA,2022
51057,Essex,10602,NA,2022
51059,Fairfax,1145354,NA,2022
51061,Fauquier,73290,NA,2022
51063,Floyd,15532,NA,2022
51065,Fluvanna,27442,NA,2022
51067,Franklin,54838,NA,2022
51069,Frederick,92007,NA,2022
51071,Giles,16711,NA,2022
51073,Gloucester,38875,NA,2022
51075,Goochland,24906,NA,2022
51077,Grayson,15356,NA,2022
51079,Greene,20631,NA,2022
51081,Greensville,11373,NA,2022
51083,Halifax,34013,NA,2022
51085,Hanover,110513,NA,2022
51087,Henrico,333120,NA,2022
51089,Henry,50760,NA,2022
51091,Highland,2247,NA,2022
51093,Isle Of Wight,38898,NA,2022
51095,James City,78818,NA,2022
51097,King And Queen,6681,NA,2022
51099,King George,26985,NA,2022
51101,King William,17845,NA,2022
51103,Lancaster,10866,NA,2022
51105,Lee,22287,NA,2022
51107,Loudoun,420773,NA,2022
51109,Louisa,38106,NA,2022
51111,Lunenburg,11988,NA,2022
51113,Madison,13828,NA,2022
51115,Mathews,8537,NA,2022
51117,Mecklenburg,30367,NA,2022
51119,Middlesex,10738,NA,2022
51121,Montgomery,99373,NA,2022
51125,Nelson,14773,NA,2022
51127,New Kent,23296,NA,2022
51131,Northampton,12132,NA,2022
51133,Northumberland,12007,NA,2022
51135,Nottoway,15638,NA,2022
51137,Orange,36593,NA,2022
51139,Page,23753,NA,2022
51141,Patrick,17660,NA,2022
51143,Pittsylvania,60541,NA,2022
51145,Powhatan,30503,NA,2022
51147,Prince Edward,21922,NA,2022
51149,Prince George,42634,NA,2022
51153,Prince William,481114,NA,2022
51155,Pulaski,33841,NA,2022
51157,Rappahannock,7422,NA,2022
51159,Richmond,8968,NA,2022
51161,Roanoke,96653,NA,2022
51163,Rockbridge,22673,NA,2022
51165,Rockingham,83905,NA,2022
51167,Russell,25763,NA,2022
51169,Scott,21536,NA,2022
51171,Shenandoah,44337,NA,2022
51173,Smyth,29799,NA,2022
51175,Southampton,18003,NA,2022
51177,Spotsylvania,141097,NA,2022
51179,Stafford,157606,NA,2022
51181,Surry,6546,NA,2022
51183,Sussex,10866,NA,2022
51185,Tazewell,40392,NA,2022
51187,Warren,40800,NA,2022
51191,Washington,53985,NA,2022
51193,Westmoreland,18480,NA,2022
51195,Wise,36105,NA,2022
51197,Wythe,28275,NA,2022
51199,York,70238,NA,2022
51510,Alexandria City,157594,NA,2022
51520,Bristol City,17036,NA,2022
51530,Buena Vista City,6639,NA,2022
51540,Charlottesville City,46289,NA,2022
51550,Chesapeake City,249377,NA,2022
51570,Colonial Heights City,18158,NA,2022
51580,Covington City,5722,NA,2022
51590,Danville City,42507,NA,2022
51595,Emporia City,5680,NA,2022
51600,Fairfax City,24242,NA,2022
51610,Falls Church City,14576,NA,2022
51620,Franklin City,8194,NA,2022
51630,Fredericksburg City,28258,NA,2022
51640,Galax City,6687,NA,2022
51650,Hampton City,137217,NA,2022
51660,Harrisonburg City,51784,NA,2022
51670,Hopewell City,23046,NA,2022
51678,Lexington City,7346,NA,2022
51680,Lynchburg City,79166,NA,2022
51683,Manassas City,42620,NA,2022
51685,Manassas Park City,17123,NA,2022
51690,Martinsville City,13539,NA,2022
51700,Newport News City,185118,NA,2022
51710,Norfolk City,236973,NA,2022
51720,Norton City,3668,NA,2022
51730,Petersburg City,33261,NA,2022
51735,Poquoson City,12479,NA,2022
51740,Portsmouth City,97384,NA,2022
51750,Radford City,16379,NA,2022
51760,Richmond City,227171,NA,2022
51770,Roanoke City,99213,NA,2022
51775,Salem City,25372,NA,2022
51790,Staunton City,25581,NA,2022
51800,Suffolk City,94856,NA,2022
51810,Virginia Beach City,457900,NA,2022
51820,Waynesboro City,22341,NA,2022
51830,Williamsburg City,15486,NA,2022
51840,Winchester City,28103,NA,2022
51001,Accomack,33326,NA,2023
51003,Albemarle,113683,NA,2023
51005,Alleghany,14962,NA,2023
51007,Amelia,13342,NA,2023
51009,Amherst,31385,NA,2023
51011,Appomattox,16424,NA,2023
51013,Arlington,235463,NA,2023
51015,Augusta,77713,NA,2023
51017,Bath,4123,NA,2023
51019,Bedford,80254,NA,2023
51021,Bland,6211,NA,2023
51023,Botetourt,33875,NA,2023
51025,Brunswick,15868,NA,2023
51027,Buchanan,19857,NA,2023
51029,Buckingham,16914,NA,2023
51031,Campbell,55398,NA,2023
51033,Caroline,31541,NA,2023
51035,Carroll,29158,NA,2023
51036,Charles City,6686,NA,2023
51037,Charlotte,11475,NA,2023
51041,Chesterfield,371610,NA,2023
51043,Clarke,15060,NA,2023
51045,Craig,4881,NA,2023
51047,Culpeper,53563,NA,2023
51049,Cumberland,9745,NA,2023
51051,Dickenson,13920,NA,2023
51053,Dinwiddie,28083,NA,2023
51057,Essex,10604,NA,2023
51059,Fairfax,1144474,NA,2023
51061,Fauquier,73935,NA,2023
51063,Floyd,15560,NA,2023
51065,Fluvanna,27764,NA,2023
51067,Franklin,54958,NA,2023
51069,Frederick,93355,NA,2023
51071,Giles,16610,NA,2023
51073,Gloucester,39228,NA,2023
51075,Goochland,25613,NA,2023
51077,Grayson,15323,NA,2023
51079,Greene,20850,NA,2023
51081,Greensville,11304,NA,2023
51083,Halifax,33811,NA,2023
51085,Hanover,111652,NA,2023
51087,Henrico,334434,NA,2023
51089,Henry,50365,NA,2023
51091,Highland,2265,NA,2023
51093,Isle Of Wight,39444,NA,2023
51095,James City,80046,NA,2023
51097,King And Queen,6676,NA,2023
51099,King George,27468,NA,2023
51101,King William,18232,NA,2023
51103,Lancaster,10876,NA,2023
51105,Lee,22042,NA,2023
51107,Loudoun,427082,NA,2023
51109,Louisa,39012,NA,2023
51111,Lunenburg,11990,NA,2023
51113,Madison,13931,NA,2023
51115,Mathews,8517,NA,2023
51117,Mecklenburg,30431,NA,2023
51119,Middlesex,10774,NA,2023
51121,Montgomery,99159,NA,2023
51125,Nelson,14777,NA,2023
51127,New Kent,24139,NA,2023
51131,Northampton,12115,NA,2023
51133,Northumberland,12085,NA,2023
51135,Nottoway,15597,NA,2023
51137,Orange,37208,NA,2023
51139,Page,23750,NA,2023
51141,Patrick,17606,NA,2023
51143,Pittsylvania,60148,NA,2023
51145,Powhatan,31074,NA,2023
51147,Prince Edward,21932,NA,2023
51149,Prince George,42873,NA,2023
51153,Prince William,484625,NA,2023
51155,Pulaski,33771,NA,2023
51157,Rappahannock,7409,NA,2023
51159,Richmond,9047,NA,2023
51161,Roanoke,96793,NA,2023
51163,Rockbridge,22578,NA,2023
51165,Rockingham,84739,NA,2023
51167,Russell,25635,NA,2023
51169,Scott,21504,NA,2023
51171,Shenandoah,44630,NA,2023
51173,Smyth,29585,NA,2023
51175,Southampton,17988,NA,2023
51177,Spotsylvania,143876,NA,2023
51179,Stafford,160520,NA,2023
51181,Surry,6552,NA,2023
51183,Sussex,10793,NA,2023
51185,Tazewell,39933,NA,2023
51187,Warren,41104,NA,2023
51191,Washington,53913,NA,2023
51193,Westmoreland,18683,NA,2023
51195,Wise,35727,NA,2023
51197,Wythe,28219,NA,2023
51199,York,70590,NA,2023
51510,Alexandria City,156788,NA,2023
51520,Bristol City,17024,NA,2023
51530,Buena Vista City,6612,NA,2023
51540,Charlottesville City,45863,NA,2023
51550,Chesapeake City,251153,NA,2023
51570,Colonial Heights City,18210,NA,2023
51580,Covington City,5671,NA,2023
51590,Danville City,42239,NA,2023
51595,Emporia City,5633,NA,2023
51600,Fairfax City,24478,NA,2023
51610,Falls Church City,14593,NA,2023
51620,Franklin City,8212,NA,2023
51630,Fredericksburg City,28383,NA,2023
51640,Galax City,6698,NA,2023
51650,Hampton City,137334,NA,2023
51660,Harrisonburg City,51492,NA,2023
51670,Hopewell City,22944,NA,2023
51678,Lexington City,7420,NA,2023
51680,Lynchburg City,79255,NA,2023
51683,Manassas City,42674,NA,2023
51685,Manassas Park City,16923,NA,2023
51690,Martinsville City,13584,NA,2023
51700,Newport News City,184774,NA,2023
51710,Norfolk City,235037,NA,2023
51720,Norton City,3620,NA,2023
51730,Petersburg City,33365,NA,2023
51735,Poquoson City,12556,NA,2023
51740,Portsmouth City,97299,NA,2023
51750,Radford City,16505,NA,2023
51760,Richmond City,227595,NA,2023
51770,Roanoke City,98677,NA,2023
51775,Salem City,25477,NA,2023
51790,Staunton City,25765,NA,2023
51800,Suffolk City,96638,NA,2023
51810,Virginia Beach City,457066,NA,2023
51820,Waynesboro City,22574,NA,2023
51830,Williamsburg City,15564,NA,2023
51840,Winchester City,27981,NA,2023
